subject_id,gender,trial,action,block,violator,victim,cost,ratio,rt
4,男,63,1,1,5,5,1,1,0.13412
4,男,64,0,1,8,2,2,1,0.465785
4,男,65,0,1,7,3,4,1,0.416775
4,男,66,1,1,5,5,2,1,0.08548
4,男,67,1,1,9,1,5,3,0.149735
4,男,68,0,1,6,4,3,1,0.419895
4,男,69,0,1,7,3,3,1,0.054445
4,男,70,0,1,8,2,1,1,0.156485
4,男,71,0,1,6,4,1,3,0.20217
4,男,72,1,1,9,1,3,1,0.42117
4,男,73,0,1,9,1,2,3,0.232765
4,男,74,0,1,7,3,2,3,0.14173
4,男,75,0,1,9,1,5,1,0.075035
4,男,76,0,1,8,2,2,3,0.307035
4,男,77,0,1,6,4,4,3,0.171305
4,男,78,0,1,9,1,4,3,0.17094
4,男,79,1,1,9,1,3,3,0.143945
4,男,80,0,1,7,3,4,3,6.271045
4,男,81,1,1,6,4,2,3,0.071415
4,男,82,0,1,6,4,2,1,0.036665
4,男,83,0,1,5,5,5,1,0.08384
4,男,84,0,1,6,4,4,1,0.024945
4,男,85,0,1,9,1,1,1,0.08319
4,男,86,0,1,5,5,4,1,0.183105
4,男,87,0,1,7,3,5,1,0.177895
4,男,88,0,1,6,4,3,3,2.26787
4,男,89,0,1,5,5,3,1,0.26552
4,男,90,0,1,8,2,3,1,0.00094
4,男,91,1,1,9,1,1,3,0.137145
4,男,92,0,1,5,5,5,3,0.275315
4,男,93,0,1,7,3,1,1,0.209355
4,男,94,1,1,5,5,4,3,0.254045
4,男,95,1,1,8,2,5,1,0.357935
4,男,96,1,1,9,1,2,1,0.184875
4,男,97,1,1,7,3,1,3,0.01569
4,男,98,0,1,8,2,1,3,0.176515
4,男,99,1,1,5,5,1,3,0.090765
4,男,100,1,1,8,2,4,1,0.350475
5,男,1,1,2,7,3,5,1,3.236945
5,男,2,1,2,9,1,2,1,1.357595
5,男,3,1,2,9,1,5,3,0.949025
5,男,4,1,2,8,2,5,3,0.30093
5,男,5,1,2,8,2,4,3,0.97439
5,男,6,1,2,6,4,4,1,0.73206
5,男,7,1,2,6,4,1,3,0.850345
5,男,8,1,2,9,1,4,3,1.073365
5,男,9,1,2,5,5,5,1,0.54031
5,男,10,1,2,9,1,5,1,1.300135
5,男,11,1,2,8,2,2,1,0.55747
5,男,12,1,2,7,3,1,1,0.366515
5,男,13,1,2,6,4,3,3,0.482655
5,男,14,1,2,5,5,2,1,2.017095
5,男,15,1,2,7,3,4,1,0.034295
5,男,16,1,2,7,3,4,3,0.20737
5,男,17,1,2,9,1,3,1,15.065765
5,男,18,0,2,8,2,1,3,3.91592
5,男,19,0,2,7,3,2,3,2.41783
5,男,20,0,2,6,4,5,1,1.016185
5,男,21,0,2,9,1,1,3,0.667505
5,男,22,0,2,6,4,1,1,0.40607
5,男,23,0,2,8,2,3,1,0.5404
5,男,24,0,2,8,2,5,1,0.35033
5,男,25,0,2,5,5,2,3,0.037355
5,男,26,0,2,9,1,1,1,0.372995
5,男,27,0,2,8,2,2,3,0.4335
5,男,28,0,2,5,5,5,3,0.456295
5,男,29,0,2,8,2,1,1,0.236905
5,男,30,0,2,5,5,1,3,0.3715
5,男,31,0,2,7,3,1,3,0.33228
5,男,32,0,2,5,5,3,3,0.43427
5,男,33,0,2,6,4,2,3,0.422475
5,男,34,0,2,7,3,5,3,0.9675
5,男,35,0,2,9,1,3,3,7.79102
5,男,36,0,2,6,4,2,1,0.75027
5,男,37,0,2,9,1,4,1,0.03295
5,男,38,0,2,8,2,3,3,0.365705
5,男,39,0,2,8,2,4,1,0.182775
5,男,40,0,2,7,3,3,1,0.089195
5,男,41,0,2,6,4,3,1,0.402565
5,男,42,0,2,5,5,1,1,0.451
5,男,43,0,2,7,3,2,1,1.504815
5,男,44,0,2,5,5,4,3,0.132525
5,男,45,0,2,9,1,2,3,0.636775
5,男,46,0,2,6,4,5,3,0.086405
5,男,47,0,2,7,3,3,3,1.072895
5,男,48,0,2,5,5,4,1,0.3824
5,男,49,0,2,6,4,4,3,0.23839
5,男,50,0,2,5,5,3,1,0.325065
5,男,51,0,1,9,1,4,3,11.956635
5,男,52,0,1,6,4,3,1,0.35203
5,男,53,0,1,5,5,2,3,0.066445
5,男,54,0,1,9,1,5,3,0.586065
5,男,55,0,1,8,2,4,1,0.004225
5,男,56,0,1,5,5,4,3,2.98522
5,男,57,0,1,9,1,4,1,0.28356
5,男,58,0,1,8,2,3,3,0.14974
5,男,59,0,1,5,5,1,3,0.149685
5,男,60,0,1,6,4,2,1,0.42329
5,男,61,0,1,7,3,2,3,0.01668
5,男,62,0,1,8,2,5,3,0.6858
5,男,63,0,1,7,3,4,1,0.60943
5,男,64,0,1,8,2,2,3,0.603355
5,男,65,0,1,7,3,5,1,0.424505
5,男,66,0,1,5,5,3,1,0.606255
5,男,67,0,1,7,3,4,3,0.331745
5,男,68,0,1,6,4,3,3,1.076085
5,男,69,0,1,9,1,2,1,0.03547
5,男,70,0,1,7,3,5,3,0.418695
5,男,71,0,1,5,5,1,1,0.1424
5,男,72,0,1,8,2,1,1,0.3559
5,男,73,0,1,6,4,5,3,0.516615
5,男,74,0,1,7,3,2,1,0.424345
5,男,75,0,1,5,5,4,1,0.533455
5,男,76,0,1,5,5,5,3,0.38338
5,男,77,0,1,7,3,1,1,0.549625
5,男,78,0,1,7,3,3,3,0.365555
5,男,79,0,1,9,1,1,1,0.386385
5,男,80,0,1,8,2,3,1,0.44994
5,男,81,0,1,6,4,1,1,0.467275
5,男,82,0,1,8,2,5,1,4.308305
5,男,83,0,1,7,3,1,3,0.43309
5,男,84,0,1,8,2,4,3,0.24979
5,男,85,0,1,6,4,1,3,0.1167
5,男,86,0,1,9,1,3,1,0.38292
5,男,87,0,1,5,5,5,1,0.417015
5,男,88,0,1,6,4,4,3,0.474225
5,男,89,0,1,9,1,2,3,0.538425
5,男,90,0,1,9,1,1,3,0.63614
5,男,91,0,1,6,4,4,1,0.03305
5,男,92,0,1,6,4,2,3,0.090475
5,男,93,0,1,7,3,3,1,0.569745
5,男,94,0,1,6,4,5,1,0.29955
5,男,95,0,1,9,1,3,3,0.373205
5,男,96,0,1,5,5,2,1,0.30826
5,男,97,0,1,8,2,1,3,0.016065
5,男,98,0,1,5,5,3,3,4.50504
5,男,99,0,1,8,2,2,1,0.616225
5,男,100,0,1,9,1,5,1,0.56981
6,男,1,0,1,7,3,1,1,9.55389
6,男,2,0,1,7,3,3,1,0.701735
6,男,3,1,1,9,1,4,3,2.01815
6,男,4,0,1,5,5,5,1,0.014495
6,男,5,0,1,5,5,4,3,0.583365
6,男,6,0,1,9,1,3,1,10.95446
6,男,7,0,1,8,2,3,1,0.13469
6,男,8,0,1,9,1,3,3,0.017745
6,男,9,1,1,5,5,5,3,1.268065
6,男,10,1,1,6,4,1,3,2.419955
6,男,11,0,1,9,1,2,1,0.384445
6,男,12,1,1,8,2,1,3,0.417545
6,男,13,1,1,5,5,2,3,0.687415
6,男,14,1,1,7,3,5,3,0.167685
6,男,15,0,1,6,4,3,1,0.517905
6,男,16,0,1,9,1,5,1,0.07079
6,男,17,1,1,9,1,2,3,0.051015
6,男,18,0,1,6,4,4,1,2.20184
6,男,19,1,1,7,3,4,3,1.017645
6,男,20,1,1,7,3,1,3,0.46763
6,男,21,1,1,9,1,5,3,0.75535
6,男,22,1,1,8,2,2,3,0.78474
6,男,23,0,1,6,4,2,1,0.317585
6,男,24,0,1,8,2,5,1,0.196425
6,男,25,0,1,9,1,4,1,0.578485
6,男,26,0,1,7,3,5,1,0.968055
6,男,27,0,1,7,3,2,3,0.48065
6,男,28,1,1,8,2,3,3,2.187085
6,男,29,0,1,6,4,5,3,0.084415
6,男,30,0,1,9,1,1,1,0.76795
6,男,31,0,1,8,2,1,1,1.66759
6,男,32,0,1,7,3,4,1,2.401495
6,男,33,1,1,6,4,2,3,0.951165
6,男,34,0,1,7,3,2,1,0.45112
6,男,35,1,1,7,3,3,3,0.51786
6,男,36,0,1,8,2,2,1,1.221565
6,男,37,0,1,5,5,3,1,0.00092
6,男,38,0,1,6,4,5,1,0.763335
6,男,39,1,1,6,4,1,1,1.30126
6,男,40,1,1,8,2,5,3,0.283845
6,男,41,1,1,6,4,4,3,0.050785
6,男,42,1,1,8,2,4,3,0.117795
6,男,43,0,1,5,5,1,1,0.003915
6,男,44,0,1,5,5,2,1,1.218125
6,男,45,0,1,6,4,3,3,0.50103
6,男,46,0,1,5,5,3,3,0.20121
6,男,47,0,1,8,2,4,1,0.584205
6,男,48,0,1,5,5,4,1,0.00113
6,男,49,0,1,5,5,1,3,0.180705
6,男,50,0,1,9,1,1,3,0.03578
6,男,51,0,2,6,4,2,3,5.18564
6,男,52,0,2,7,3,4,1,2.568325
6,男,53,0,2,8,2,1,1,8.04292
6,男,54,0,2,8,2,4,1,21.85481
6,男,55,0,2,9,1,4,1,0.664705
6,男,56,0,2,5,5,2,1,1.067775
6,男,57,0,2,6,4,5,1,0.28442
6,男,58,0,2,7,3,3,1,0.117445
6,男,59,0,2,8,2,2,3,0.718255
6,男,60,1,2,6,4,3,3,3.25138
6,男,61,0,2,9,1,1,3,13.2547
6,男,62,0,2,8,2,3,3,0.20108
6,男,63,0,2,5,5,3,1,0.000865
6,男,64,1,2,5,5,3,3,0.013915
6,男,65,0,2,6,4,1,3,0.05113
6,男,66,0,2,5,5,5,1,0.000895
6,男,67,0,2,6,4,4,3,0.034365
6,男,68,1,2,8,2,5,3,0.03419
6,男,69,0,2,8,2,1,3,0.20105
6,男,70,0,2,8,2,5,1,0.55247
6,男,71,1,2,8,2,2,1,0.10089
6,男,72,0,2,9,1,2,1,0.46778
6,男,73,1,2,9,1,4,3,0.40056
6,男,74,1,2,7,3,5,1,1.08491
6,男,75,1,2,9,1,5,3,0.368615
6,男,76,1,2,5,5,1,3,0.230595
6,男,77,1,2,6,4,5,3,1.604335
6,男,78,1,2,5,5,4,1,1.16789
6,男,79,1,2,6,4,1,1,0.184775
6,男,80,1,2,9,1,3,1,0.167625
6,男,81,0,2,7,3,2,1,0.217785
6,男,82,0,2,9,1,2,3,1.431025
6,男,83,0,2,5,5,2,3,1.56855
6,男,84,0,2,6,4,4,1,0.151335
6,男,85,0,2,8,2,4,3,0.033725
6,男,86,0,2,7,3,1,3,0.10113
6,男,87,0,2,6,4,2,1,0.21837
6,男,88,0,2,9,1,3,3,0.43747
6,男,89,1,2,5,5,4,3,0.28078
6,男,90,0,2,6,4,3,1,0.1178
6,男,91,0,2,8,2,3,1,0.701035
6,男,92,1,2,5,5,5,3,0.2344
6,男,93,0,2,5,5,1,1,0.11748
6,男,94,0,2,7,3,4,3,1.31475
6,男,95,0,2,7,3,2,3,3.706145
6,男,96,0,2,7,3,3,3,1.552585
6,男,97,0,2,9,1,5,1,0.16733
6,男,98,0,2,9,1,1,1,0.46781
6,男,99,0,2,7,3,1,1,0.250545
6,男,100,0,2,7,3,5,3,0.134405
7,女,1,0,1,5,5,3,1,6.35284
7,女,2,0,1,7,3,4,1,1.13835
7,女,3,0,1,9,1,2,1,4.56907
